,comment,label
105,Hard to punish a people that view women as their toys. Their religion allows this.,2
106,"It's not a religion. It's a cult of hate, death and destruction.",2
107,Agreed,2
108,"first immigrate them, then seduce them and then get them into acts where they dont want to hear NO. And then get them to jail if they are not submissive.",2
109,"nice, but it doesn't help these women who were physically assaulted.",0
110,The great German nation brought this on itself. And its citizens pay the price for letting barbarians in unchecked.,2
111,Why do they keep Merkel in office. The woman is a disaster for Germany. She knows nothing and does everything to hurt her country,0
112,She sounds like Hillary.,0
113,And Oblama,0
114,but barry loves her...,0
115,"Let me wrap my mind around this. A woman was raped by two men and a video shows her saying no and now she's on trial?? Yeah, we need European style justice here in America. And let me venture a guess. The opposition to the change that will allow deportation of these savages is the liberal wing of the equivalent to our own Democratic Party.",2
116,"In this case, the liberal wing you're referring to is in Brussels.",0
117,And people wonder why England voted FOR Brexit?,0
118,hasent no been on the books forever,0
119,But it has never been defined. /sarc,0
120,"depends on what the meaning of ""is"" - 'is"".",0
121,Huh???,0
122,"Now we have reverse discrimination, BIG TIME because of this PERCEIVED PROBLEM that our DEAR LEADER intended to remedy by EXECUTIVE FIAT Just another reason why there should not be a federal department of education that doles out OUR OWN TAX MONEY and makes the states JUMP THROUGH HOOPS TO GET IT Don't you think ENOUGH IS ENOUGH",0
123,"Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.",0
124,but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights,0
125,Think for yourself for once.,0
126,I always do there is no bigger lie than equal rights for all,0
127,You're becoming far too repetitive.,0
128,you never do that Sharon?,0
129,"Honestly, who is Sharon? I don't get the joke.",0
130,so far thats you,0
131,You think my name is Sharon? OK?,0
132,glad you told us your name,0
133,"Seeing as that's not my name, nor did I ever say it was, I still have no idea what you're trying to say.",0
134,you just now said it was,0
135,"Well no, I didn't. So again, what in the world are you saying?",0
136,its nice to know your real name. its a pretty female name,0
137,"Ah, okay. You wish I was a woman. That's cr⁠e⁠epy, Wayne. Keep your fan⁠tas⁠ies to yourself.",0
138,so you admit being a woman?,2
139,"You've made it quite clear you're hoping I'm a woman. That's sa⁠d, Wayne. You need help.",0
140,"I came back to my post and saw ""16 replies"" and actually thought ""Wow, maybe my post generated some interesting conversation."" Then I clicked on it. OMG. Sharon was probably his third wife...and second daughter.",0
141,"Nah, he didn't come up with that one himself either. did and he's been parroting it. Like I said, he's not capable of an original thought.",0
142,"He's not capable of any thought, period",0
143,none that is a vote for Hilary,0
144,Republicans en masse are getting ready to turn their back on Trump the way they did on Bob Dole in '96 when it was clear he couldn't win against Bill Clinton.,0
145,no the opposite your polls poll mostly Democrats who can't stand Hilary who matters because of that cigar,0
146,The polls are accurate Wayne. Pollsters compete with each other for contracts and as a result focus on accuracy. They have no problem predicting elections within the margin of error. A couple like Fox and Rasmussen have a Republican house effect of around 3 points. A couple like PPP have a Dem house effect of around 3. The polls say Trump isn't doing very well. Worse than they said McCain and Romney were doing at this same time. EVEN Fox's polls.,0
147,why does that Neke Silver say that Trump will win by 57 percent?? they can easily find Democrats in Manhattans. but they don't like Hilary at all not many do,0
148,"If Trump ever endorses violence against liberals, I will comply with his wishes, gladly.",2
149,I think we all will come Nov 8,2
150,This is why you need help. You need to be in asylum before you hurt someone.,0
151,you do since I thought you did not like HRC that is a lie obviously,0
152,Hopefully the authorities come for you before election day.,0
153,The latest projections are the Orange Clown loses in a landslide.,0
154,Here's hoping he brings as many Republicans down with him as possible.,0
155,nope the Dems will dump Hilary like they dumped Carter in 80,0
156,Source?,0
157,They dumped Carter because he couldn't resolve the hostage crisis and inflation was out of control...after he was in office four years. Now why are they going to dump Hillary?,0
158,His overlords haven't told him that one yet.,0
159,"See what I mean? No answer, just repetition of the original statement.",0
160,nope a VOTE for hilary is what your only answer would be,0
161,"No, any answer to the question would be a fine answer.",0
162,nope because the Dems rejected Carter and will do the same to Hilary. they want no more four years of Monica Lewinski,2
163,Monica Lewinski lol.,2
164,why not? she is why Hilary matters,0
165,Liberals can't distinguish men from women. Nor do they want to.,2
166,Cons can't distinguish morality from the rantings of a barbaric ancient middle eastern desert tribe.,2
167,and liberals use that same book and blast Christians day and night falsely,0
168,Freedomscout thinks the public schools are like Pink Floyd's The Wall.,0
169,I wish he'd publish his book already and stop spamming here.,0
170,and the left wants homeschooling banned.,0
171,Not me.,0
172,He's just spouting off the nonsense he hears on TV. He's not capable of critical thought.,0
173,"Or it was conservative talk radio. A caller into Han nity says it and Han nity says ""Oh you're right. You're right."" And then they run around to friends and family wringing their hands as the repeat it as fact.",0
174,"Given small handful of names that appear in Wayne's tweets, it's definitely FOX.",0
175,I know SB (sharon) does,0
176,I would like to see the quote.,0
177,Don't hold your breath.,0
178,just replied to me below. Read it if you dare. It's so sad.,0
179,I don't bother reading his posts. Everything coming from a creationist is nonsense.,2
180,I wonder which of your favorite talking heads just said that on TV.,0
181,"I agree that people should use the public bathroom that fits their actual gender, but what harm to society is caused by someone being transgender?",0
182,"The ones harmed the most are the children who are taught in government schooling that ""transgenderism"" is a valid description of a true reality. First, the very fact that ""transgenderism"" is not a true reality in itself but a condition of mind makes the claim of validity false...thus being deceptive for the children, youth, adolescents and adults who are deceived by it. Deception about anything critically important in the learning, growth, self-understanding and self-appreciation, and view of the civil society is evil and must be refused and refuted. To confuse children and youth, especially on the issues of their own nature is inexcusable and abusive to them. Because the falsehoods regarding ""transgenderism"" are being foisted on the culture by intention and willing complicity, the evil effects are widespread and become repeated in social media of all kinds.The result for stability of family and civil society is degradation of both.",2
183,"Seriously, your denial of transgenderism as a ""real thing"" is quite dangerous as is the condemnation of anyone who is struggli g with identity issues because they are born that way or develop differently due to hormones and biology.",0
184,"Transgenderism is just that, an ""ism"", meaning it is a condition of mind not based on reality. So when I say ""real thing"" I'm referring to the reality that such a person is confused because they think in their minds they are something which they are not in reality. Condemnation of such confused people isn't appropriate though either, precisely because they are confused and their inner motivations which bring on that confusion are something they don't understand themselves.",2
185,"""Trangenderism"" is real. Does it mean someone's gender has actually changed? No, but that doesn't make it less real. You mention evil effects. What are they? Be specific, not just something like it's evil or wrong.",0
186,"To call some confusion of mind ""real"" distorts the discussion, as I tried to make clear that the confusion phenomena is real, i.e. that the person is really confused. So what is real is in opposition to what the confused person believes is real. When I refer to ""evil"" effects, I'm not using the term generically very often but to indicate a moral form of something that is inherently evil. However, I suspect you are looking for the human consequences that are harmful to the subject (victim) and to families and civil society. Is that the case?",2
187,"Either way. Yes, how does it harm the individual and society? And, generically, what makes it inherently evil?",0
188,"The harm to the person who is confused about their own sexuality should be obvious, but sadly political correctness has suppressed much of the truth about it. On the face of it, it's inherently harmful for a person to be confused about anything where reality is involved, because the confusion causes them to react to reality erroneously, making decisions that are, at least, not in their best interest and that are, at worst, very harmful to their lives and wellbeing.",0
189,"How will you go about ""curing"" them? They have tried many different kinds of therapy with them. The only best solution for now is to help them transition. Forcing them to be ""normal"" will have them end up in depression, various problems and possibly suicide.",0
190,"Also they are not ""confused"" as they are well aware of their own bodies.",0
191,"There is a common misconception that one can somehow ""force"" a confused person out of their confusion. That seldom works, although there are some conditions where various forms of coercion may be effective...and may raise ethical concerns.Transgenderism, like all of the other sexual confusions and perversions, is inherently depressive to the individual, with other inner self harmful effects also...sometimes resulting in suicide. These are all very sad effects and consequences...and need core inner remedies not pandering, sheltering or accommodating. These confusions and perversions are inherently mental, not sourced in the physical nature itself...speaking generally and referring to the great majority of cases. The problem with most of psychology is that it categorizes ""mental"" as physical, of the brain, instead of the ""mind"". That's why secular psychology has no answers for these conditions, as permanent correction of the core cause. However, well versed psychologists and counselors who understand the mind as being part of the core spirit nature of the human being, human person, treat the person very differently, with an understanding of volition which dynamically changes the process of treatment and dynamically results in core therapy and lasting benefit, true healing of the person to live normally as they truly are in harmony with their physical self.",2
192,"Again you have not given any viable solution. The ""spiritual counseling"" have been done many times before. The depression comes from the fact that people like you will not accept them as who they are and instead want to force them to conform to what is your idea of reality.",0
193,"The depression doesn't come from outside for these persons, but from their inner confusion about their own nature and value. It can be accentuated by outside influence that is demeaning, of course. But the depression source is internal to the person themselves, and is alleviated when they come to understand some core concepts about their nature as human persons as well as their physical nature. I suppose that what you conceive as ""spiritual counselling"" is simplistic recitation of Scripture and platitudes, along with sessions of prayer, etc. What I'm actually referring to is very deep counseling, working inward from the objective self-concepts of the person as God's created being of immense worth and value, to both God and the rest of humanity. But the subject does not easily acclimate to these concepts when they are so confused. It takes a great deal of patience and explanation on various levels of understanding that fit the subject's own initial perceptions and beliefs, helping them to understand where they are in error in their concepts and understanding...and why their understanding is erroneous. Essential in this process is the understanding imparted to the subject that they can choose to believe differently, and choose to redirect their own thinking patterns, actually modifying their brain structure over time. The resulting symbiosis between purposed thought and changes in the brain result in true long lasting, permanent, healing.",2
194,Seems like general statements again. What is so obviously wrong or evil about it. What actual harm is being caused by their choices?,0
195,"""Indeed there are those who are last who will be first, and first who will be last."" - Luke 13",0
196,No one?,0
197,No one as in nobody is answering or no one as in nobody is going to be last in heaven despite what Jesus said?,0
198,"No one, as in my guess is no one.",0
199,I will be last if you just need someone to close up shop. Does room service exist in Heavan? I hope it is a fun place and not just a bunch of religious nuts praying and such.,0
200,"Oh it's going to be a fun place all right. So, as Jesus said earlier in this chapter, "" “Make every effort to enter through the narrow door, because many, I tell you, will try to enter and will not be able to.""",0
201,"So you think it's moral to discriminate against transgender people when science, medicine and psychology all say their condition is legitimate? On what basis?",0
202,"Here we see a rationale commonly used by those who support these bizarre behaviors and policies. First, the terms ""discriminate"" and ""discrimination"" are elevated in their minds to the level of a religious sanctimony, as though they were ultimate weapons of warfare against those who oppose these foolish notions. The idea is to intimidate the opposition with these terms to make them feel guilty of some wrong or evil, or at least make them feel unaccepted for who they are in their politically incorrect belief. Then these supporters of fallacy use a blatant fallacy to try to further intimidate any opposition...as in this case making the outrageously fallacious claim, ""science, medicine and psychology all say their condition is legitimate"". This is supposed intimidate the realists by putting them on the defensive, as though it was their job to refute the grand fallacy, instead of the promoter of the fallacy's job to defend it. Then, the tactic includes a question, which is supposed to imply that the writer is open minded rather than dogmatic and doctrinaire, which they are. Also the question is usually very open ended so that the answer will not like refute anything the writer has claimed, thus diverting attention from the utter fallacy and attempted intimidation to ""put the monkey"" on the back of the opposition. The way to refute these tactics is to speak the truth, even if it is simply put without a lot of facts and figures and arguments...the simple truth. Of course, one can also engage in presentation of facts, figures and arguments which help other readers/listeners learn the deeper proofs for the truth. So, the truth here is that it is righteous to discriminate between righteousness and evil, right and wrong, good and bad, and tell the truth about it. And the truth is that sexual confusions and perversions are a great harm to their subjects and our civil society if tolerated instead of dealt with properly with the Loving Righteousness of God.",2
203,"How will it harm our ""civil society""? Be specific, now.",0
204,Did you not understand the question?,0
206,I think he's stumped on that one.,0
207,Seems so.,0
208,"First, the terms ""discriminate"" and ""discrimination"" are elevated in their minds to the level of a religious sanctimony – Freedomscout ""Indeed there are those who are last who will be first, and first who will be last."" - Luke 13",0
209,"I try to live by that ""Do unto others"" bit.",0
210,"which ""other people?"" that has a hidden meaning and means HOMOSEXUALS. we see that the left faith ISLAM never had to be kind to ""others"" in Orlando did they? it depends a LOT on the religion. we watched while 102 ""others"" got shot in a bar yet we get sued over a cake that VERY selective morality would make Jesus angry.",2
211,"Of all the sick moves Obama has made, this has to be the top He seems to think that as president, the people MUST sereve HIM, not that he should be serving the PEOPLE. The only people he seems to feel obligated to serve are those without morals, which he apparently feels he is part of Even though he only has a few months left in his term, the house and senate should be calling themselves back into session and impeaching him Under Obama and Clinton this country has become an immoral, dirtier than dirt nation I suggest he send his children to a public school affected by this despotic rule Just to show us how much he believes it",2
213,So you think it is fine to protect the rights of immoral people while taking the rights from innocent women to have their privacy?,2
214,people? Who?,0
215,that is who.,2
216,"If you don't understand what transgender is, go talk to your family doctor. They cover it in medical school.",0
217,I understand completely who they are. You are the one that has bought into the lie that they were born with some genetic defect. Transgender is a sick perversion.,2
218,Transgenders are immoral? That's news to me. I personally know two and they're not immoral.,0
219,Like your morals don't fall into question by supporting this.,0
220,Why should they?,0
221,Simply because people like you are out to change what is considered moral into something that isn't.,2
222,By whose definition? Yours only?,0
223,No by the standard that has been around since this country was founded and before.,0
224,No by the standard that has been around since this country was founded and before. So I guess you think we should still have sla very? I'm not surprised. It's biblical too.,0
225,Nice tactic to switch the conversation.,0
226,I'm just identifying exactly where your so called morals are coming from.,0
227,Not hardly.,0
228,Oh really? Then where?,0
229,Your interpretation of the Bible is flawed so making you understand anything from it will never happen until you recognize your need for a savior.,0
230,So you admit it. Your morality is coming from the bible and not science or medicine. Thank you for making my point.,0
231,"So his morality is based on what was prevalent in the Middle East about 2000 years ago. Nothing like keeping up to date, eh?",0
232,Notice how she took off when it came down to actually having to defend God's Word.,0
233,Yep,0
234,its where YOURS comes from too the Bible is why you push TG and gays its a lot more than a book,2
235,Deuteronomy 22,0
236,Leviticus 25,0
237,JEWISH LAWS they don't do that. but you care about the return of slavery via gay marriage,2
238,Exodus 21,0
239,your faith ISLAM is far worse toward slaves than we are,2
240,"Where do they come from, then?",0
241,Like your morals don't fall into question by getting your info about human se xuality and gender identity from a barbaric ancient middle eastern desert tribe that had no problem with adults marrying children and thought the appropriate way to deal with ra pe was to make the ra pist marry the victim.,0
242,Or stone the victim.,0
243,like Muslims do already,2
244,Discriminate against them in what way?,0
245,By telling them they can't use the bathroom or facilities of the gender that they're living as and under medical and mental health guidance to live as...as they have been for decades.,0
246,someone use the bathroom of their actual gender is not discrimination. A man who identifies as a woman (or vice versa) does not mean he is a woman.,2
247,Except that that's not their actual gender. They're the gender they're living as.,0
248,is not a choice. You're born male or female. It doesn't change because you think your the opposite.,2
249,"It's ""you're,"" You write like a fifth-grader. And sound like one as well.",0
250,"Good job, you caught a typo to point out since you don't have a counter argument.",0
251,It wasn't a typo. You don't know the difference.,0
252,"That doesn't make sense. If I know the difference between the two words, but used the wrong one, that is a typo. This isn't a college paper, I'm not proofreading or checking for auto correct issues. Again, I notice no counter argument from you on the actual post though.",0
253,"How can I possibly make an understandable counter argument to someone that doesn't know the difference between ""your"" and ""you're""? I just can't du﻿m﻿b it down enough.",0
254,"And you can't understand a typo. Or just hide behind that claim since you can't argue the point, which is more likely in this case.",0
255,Ha ha,0
256,Ask your family doctor about it. They'll explain it to you.,0
257,"It's pretty simple. A woman does not change into a man by thinking it. She is still a woman. No issue with her thinking/acting like a man, but that isn't what she is, physically.",2
258,join Islam SHOOT the TGs/gays problem solved they get to discriminate against whoever they want to,2
259,?,0
260,No answer huh? there is no way you are for equal rights,0
261,no answer? You didn't ask a question.,0
262,I did make a statement. I admit that,0
263,ITS PERFECTLY OKAY DEPENDING ON THE RELIGION the liberal faith militant Islam gets to shoot all the TG/s gays it wants to and be protected under Sharia Law,2
264,"While I empathize with the sentiment and agree that Obama's motives are evil, the long standing evil of murderous abortion has been a terrible part of the moral decadence in America for 43 years now. But even that has been a symptom of the inner decay in the lives of so many people who have lost the moral compass that used to guide our culture.",2
265,"The added confusion this is all bringing to children, youth, adolescents and young adults is tragic and so unnecessary. Parents are having a very difficult time shielding their children from the foolish influences of our culture that is creating so much uncertainty and relativism in the minds of youth...largely through social media and sadly through government schooling.",0
266,"- The confusion is added by people following an ancient mythology that have no respect for science, medicine and psychology.",0
267,How does that have anything to do with it?,0
268,Religion poisons the minds of children against logic and truth.,2
269,"Many religions are poisonous to logic and truth, that much is true...and human beings still remain fallen human beings even they are Redeemed by the Sacrifice of Jesus Christ. So there's that. But the fallacies of thinking cannot be limited or attributed to religion but to error inherent in human motivation, the motivation to utter self-centeredness as fallen sinful human beings. Nearly all of the world's many religions are expressions of that utter sinful nature...Christianity and Judaism being the sole exceptions.",2
270,Your comment was correct...except for the last seven words.,0
271,I stand by all of them.,0
272,Sure you do. And you look like a fo﻿ol.,0
273,"I identify with Paul the Apostle, glad to be called a fool for Jesus Christ.",0
274,You're just a fo﻿ol...period.,0
275,"The saddest result, perhaps, of these political machinations is that children will be influenced to doubt what and who they really are as God's Grand Creation with Inestimable Value.",2
276,Is that any worse than the nonsense in the bible?,0
277,"Since there isn't any nonsense in the Bible, these things surely are worse.",0
278,"No nonsense in the bible? That's funny, scouty",0
279,None at all and you KNOW it or you would not misquote it,0
280,"I figured it out by age 5. The good thing is children will have access to healthcare, information, medicine, treatment and support. None of which existed for transexuals when I was a little girl growing up in the 1970's and 80's.",0
281,"What a sick, Satan possessed world we live in.",2
282,Stand by for it to get much worse.,0
283,The world is not possessed by satan.,0
284,sure it is unless you are on the side of ISIS,0
285,Thankfully Obama is the first and last gay president. Not to mention black.,2
286,Just because Obama wants to pee in the ladies room doesn't mean the rest of America has to put up with it.,0
287,That's an odd fantasy.,0
288,you want to watch obama pee? YOU are sick,0
289,What are you talking about?,0
290,still pushing for yes on TG/gays?,0
291,"Again, what are you talking about? Who said they wanted to watch Obama pee? And, who is pushing you to say on TG/gays?",0
292,you do and so does SB its about FORCED deviance without that no sense would be possible,2
293,"I can't speak for SB, but I don't want to watch anyone pee, nor do I care if you (or anyone else) watches someone else pee.",0
294,fine then lets leave the bathrooms alone,0
295,When have I said to mess with a bathroom?,0
296,you asked what I was talking about did you not? which really meant change the bathrooms,0
297,"No, you asked who wants to see Obama pee. I then asked what are you talking about, because no one had said they want to watch him pee.",0
298,I think you do but its about forced perversion or else,2
299,"Again, claiming things I've never said",0
300,nothing EVER is said but pro perversion,2
301,"So, what you say is pro perversion then?",0
302,why else do you want sense from me? what you need is AGREEMENT with a sick lifestyle SOCIALISMLESS  for liberals ... that is normal,2
303,"Could this be the real reason, as to why Ms. Clinton basically stopped wearing dresses and pantyhose? Could she possibly have possessed the wisdom to determine what a high-risk liability it would be, having pantyhose entangled about her ankles, as an unknown man entered the ladies room with her, unbeknownst, or did Mr. Clinton simply forewarn her, as to the potential danger? Will the left seek to ban ladies from wearing pantyhose, next, and maybe even dresses, deeming such to be an unnecessary risk within the ladies room?",2
304,0/10,0
305,-1/10,0
306,her first move God forbid will be to ban dresses,0
307,"Yeah, a real danger that will happen, I'm sure.",0
308,want men wearing dresses not me,0
309,You have a very active imagination.,0
310,"Do I want men wearing dresses? No, but not freaked out by it either.",0
311,either but that will be the next drug,2
312,"You forgot to take yours, clearly...",0
313,will be the next drug?,0
314,already is since the court failed to require churches to marry gays,2
315,You need a gibberish->English translator to understand any of his posts.,0
316,I do right now because these post aren't making any sense.,0
317,As is usually the case with Wayne.,0
318,Laugh only a pro gay/TG post would EVER make sense to you stop the no sense lie,2
319,"No, seriously read your post. It didn't make any sense. Not even talking the opinion it stated. Referring to the phrasing.",0
320,lie you are redefining sense to mean disagreement,0
321,"No, I'm trying to figure out what you are saying. You're asking questions claiming someone wants stuff they haven't mentioned.",0
322,not at all you are desperately pushing for a pro deviant answer from me nothing else can make sense but that.its an old liberal game I see all the time unless I say yes to gay marriage and TG bathrooms I can never make sense to you,2
323,"I just want you to make sense. You're saying stuff like transgenders are the new drug. Be against gays and transgender people all you want, but please make sense when you write so others can understand you.",0
324,Not at all you want me to agree with gays and TGs or it will be impossible to make sense to you its a tiresome liberal game that can never allow different opinions,0
325,"Another claim of something I've never said. I am fine with you not agreeing with or liking gays or transgenders, and have never said otherwise. People can have different opinions.",0
326,you aren't...but I am....,0
327,Why?,0
328,"Actually, the reason she wears pants suits is to better hide the fact she's wearing depends and they might leak",0
329,"Such is a plausible hypothesis, and if true, perhaps they are customized with body enhancements; nevertheless, she and her party are attacking women, via the Alinsky playbook.",0
330,Trans people have always used the bathroom/facilities of the gender they're living as. Conservatives just like discrimination and want to create potentially explosive situations. They seem to thrive on that in fact.,0
331,"Really, it's a distraction. Nobody in their right mind would think this was a problem.",0
